nom,date,provincial_logistics_en,ner_json,emotion_json
Ituri,17-05-2026,A preparatory meeting was held for a logistics needs assessment for all pillars.,[],"{""label"": ""fear"", ""score"": 0.7517}"
Ituri,19-05-2026,"Vehicle fleet identification included 4 ambulances (at HGR Bunia, HGR Mongbwalu, PNC, and UMIR). Programmes and coordinations had 3 vehicles (CPLT, MTN, PEV). WHO provided 5 vehicles for the surveillance pillar. UNICEF provided 6 rented vehicles, including 1 for SBC.","[{""type"": ""ORG"", ""value"": ""HGR Bunia"", ""score"": 0.9375}, {""type"": ""ORG"", ""value"": ""HGR Mongbwalu"", ""score"": 0.9722}, {""type"": ""ORG"", ""value"": ""PNC"", ""score"": 0.9716}, {""type"": ""ORG"", ""value"": ""UMIR"", ""score"": 0.8276}, {""type"": ""ORG"", ""value"": ""CP"", ""score"": 0.6009}, {""type"": ""ORG"", ""value"": ""M"", ""score"": 0.853}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9984}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9977}, {""type"": ""ORG"", ""value"": ""SBC"", ""score"": 0.993}]","{""label"": ""neutral"", ""score"": 0.9322}"
North-Kivu,20-05-2026,A logistics needs assessment was developed for multiple health zones. Starlink kits for internet connection were acquired from UNICEF. Five vehicles donated by WHO were received. Two hundred litres of diesel were received through MEMISA-Belgium support.,"[{""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9983}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9986}, {""type"": ""ORG"", ""value"": ""MEMISA"", ""score"": 0.7979}, {""type"": ""LOC"", ""value"": ""Belgium"", ""score"": 0.9996}]","{""label"": ""neutral"", ""score"": 0.8552}"
Ituri,22-05-2026,Inputs and protective equipment were delivered to the laboratory and IPC pillars for four category 1 facilities. Inputs and protective equipment were also delivered to one health zone for safe and dignified burials. Unpacking of inputs and equipment received on 21 May 2026 took place. Monitoring of installation works for care tents and ETC installation was conducted.,"[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.8749}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9775}]","{""label"": ""neutral"", ""score"": 0.815}"
Ituri,06-06-2026,"Monitoring of ETC construction works was conducted at HGR Bunia (finishing works under way), CME Bunia, and HGR Rwampara. Monitoring of ETC rehabilitation works was also conducted at HGR Katwa.","[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9981}, {""type"": ""ORG"", ""value"": ""HGR Bunia"", ""score"": 0.9592}, {""type"": ""ORG"", ""value"": ""CME Bunia"", ""score"": 0.9972}, {""type"": ""ORG"", ""value"": ""HGR Rwampara"", ""score"": 0.9547}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9969}, {""type"": ""ORG"", ""value"": ""HGR Katwa"", ""score"": 0.9402}]","{""label"": ""neutral"", ""score"": 0.8644}"
North-Kivu,06-06-2026,"Laboratory materials were delivered to INRB/Beni, including 24 thermo-flash for the PNHF and 4 thermo-flash for HGR Katwa. Preparation of the supply needs assessment for the pillars in Katwa HZ was conducted. Monitoring of zone-vehicle maintenance and movement of the 4 vehicles provided by IOM took place.","[{""type"": ""ORG"", ""value"": ""INRB"", ""score"": 0.9913}, {""type"": ""LOC"", ""value"": ""Ben"", ""score"": 0.3995}, {""type"": ""ORG"", ""value"": ""##i"", ""score"": 0.6954}, {""type"": ""ORG"", ""value"": ""P"", ""score"": 0.9775}, {""type"": ""ORG"", ""value"": ""##HF"", ""score"": 0.8472}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.9932}, {""type"": ""ORG"", ""value"": ""Katwa"", ""score"": 0.9477}, {""type"": ""LOC"", ""value"": ""Katwa HZ"", ""score"": 0.909}, {""type"": ""ORG"", ""value"": ""IOM"", ""score"": 0.9931}]","{""label"": ""neutral"", ""score"": 0.9115}"
Ituri,07-06-2026,"ETC construction works were monitored at HGR Bunia (finishing ongoing), CME Bunia, and HGR Rwampara. IPC inputs were delivered to CS Bigo, CME Bunia (crèche), DPS, and the CHEM-CHEM orphanage. Medicines were delivered in Bunia HZ. ETC rehabilitation works were monitored at HGR Katwa. Continued support was provided to the regular needs of all pillars.","[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9769}, {""type"": ""ORG"", ""value"": ""HGR Bunia"", ""score"": 0.9333}, {""type"": ""ORG"", ""value"": ""CME Bunia"", ""score"": 0.9978}, {""type"": ""ORG"", ""value"": ""HGR Rwampara"", ""score"": 0.9705}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9754}, {""type"": ""ORG"", ""value"": ""CS Bigo"", ""score"": 0.9955}, {""type"": ""ORG"", ""value"": ""CME Bunia"", ""score"": 0.9871}, {""type"": ""ORG"", ""value"": ""cr"", ""score"": 0.6067}, {""type"": ""ORG"", ""value"": ""DPS"", ""score"": 0.9946}, {""type"": ""ORG"", ""value"": ""CHEM"", ""score"": 0.8209}, {""type"": ""LOC"", ""value"": ""CH"", ""score"": 0.7789}, {""type"": ""ORG"", ""value"": ""##EM"", ""score"": 0.7975}, {""type"": ""LOC"", ""value"": ""Bunia HZ"", ""score"": 0.911}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9274}, {""type"": ""ORG"", ""value"": ""HGR Katwa"", ""score"": 0.952}]","{""label"": ""neutral"", ""score"": 0.9211}"
Ituri,08-06-2026,"A supply of inputs was provided to 31 health facilities or health zones, and medicines (critical items) were provided to 5 health zones. A total of 135 motorcycles ensured the mobility of field teams at the level of various health zones and pillars. A total of 34 vehicles, including 2 functional ambulances, ensured the mobility of coordination and field teams in the various health zones.",[],"{""label"": ""neutral"", ""score"": 0.8229}"
Ituri,24-06-2026,23 vehicles and 4 ambulances deployed. 10 vehicle contracts renewed (UG-PDSS support). Supply of inputs for Well-being and Surveillance pillars from DPS stock. Additional IPC supplies for Kilo HZ. Medicine kits prepared for Nia-Nia HZ. 12 Tyvek packages (98 kg) delivered to Mongbwalu HZ and 22 IPC packages (202 kg) for Nizi HZ training. Infrastructure: continued construction of new ETC at HGR Bunia; 12 new tents operational at CME Bunia; 1 tent installed for Well-being pillar.,"[{""type"": ""ORG"", ""value"": ""U"", ""score"": 0.5645}, {""type"": ""ORG"", ""value"": ""PDSS"", ""score"": 0.9524}, {""type"": ""ORG"", ""value"": ""DPS"", ""score"": 0.9662}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9199}, {""type"": ""LOC"", ""value"": ""Kilo HZ"", ""score"": 0.6203}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.623}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.586}, {""type"": ""ORG"", ""value"": ""Ty"", ""score"": 0.8066}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.6348}, {""type"": ""LOC"", ""value"": ""##gb"", ""score"": 0.4596}, {""type"": ""ORG"", ""value"": ""##walu H"", ""score"": 0.6153}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.5402}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.8877}, {""type"": ""LOC"", ""value"": ""Nizi H"", ""score"": 0.5815}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.9723}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.8111}, {""type"": ""LOC"", ""value"": ""Bunia"", ""score"": 0.9241}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.91}, {""type"": ""LOC"", ""value"": ""Bunia"", ""score"": 0.7958}]","{""label"": ""neutral"", ""score"": 0.7468}"
North-Kivu,24-06-2026,"UG-PDSS medicines delivered to Butembo, Kalunguta and Katwa HZs. IPC supplies delivered to Beni HZ. Deployment of pillar teams in health zones. IPC supplies delivered to PoC/PoE sub-pillar for Kasitu PoC.","[{""type"": ""ORG"", ""value"": ""UG"", ""score"": 0.9397}, {""type"": ""ORG"", ""value"": ""PDSS"", ""score"": 0.8019}, {""type"": ""ORG"", ""value"": ""Butembo"", ""score"": 0.8171}, {""type"": ""LOC"", ""value"": ""Kalunguta"", ""score"": 0.6041}, {""type"": ""ORG"", ""value"": ""Katwa"", ""score"": 0.6824}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9963}, {""type"": ""LOC"", ""value"": ""Beni HZ"", ""score"": 0.9642}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9958}, {""type"": ""ORG"", ""value"": ""PoC"", ""score"": 0.9725}, {""type"": ""ORG"", ""value"": ""PoE"", ""score"": 0.7034}, {""type"": ""ORG"", ""value"": ""Ka"", ""score"": 0.8482}, {""type"": ""LOC"", ""value"": ""##si"", ""score"": 0.5487}, {""type"": ""ORG"", ""value"": ""##tu PoC"", ""score"": 0.9308}]","{""label"": ""neutral"", ""score"": 0.9405}"
