nom,date,national_security_en,ner_json,emotion_json
DRC,31-05-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones.","[{""type"": ""LOC"", ""value"": ""Djugu"", ""score"": 0.9032}, {""type"": ""LOC"", ""value"": ""Irumu"", ""score"": 0.963}, {""type"": ""LOC"", ""value"": ""Mambasa"", ""score"": 0.9772}]","{""label"": ""fear"", ""score"": 0.6421}"
DRC,01-06-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones.","[{""type"": ""LOC"", ""value"": ""Djugu"", ""score"": 0.9032}, {""type"": ""LOC"", ""value"": ""Irumu"", ""score"": 0.963}, {""type"": ""LOC"", ""value"": ""Mambasa"", ""score"": 0.9772}]","{""label"": ""fear"", ""score"": 0.6421}"
DRC,02-06-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones. An SDB team was assaulted at Bunia cemetery, resulting in 5 response workers injured.","[{""type"": ""LOC"", ""value"": ""Djugu"", ""score"": 0.9386}, {""type"": ""LOC"", ""value"": ""Irumu"", ""score"": 0.9674}, {""type"": ""LOC"", ""value"": ""Mambasa"", ""score"": 0.9764}, {""type"": ""ORG"", ""value"": ""SDB"", ""score"": 0.9982}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.997}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.855}]","{""label"": ""fear"", ""score"": 0.8258}"
DRC,03-06-2026,A security briefing was provided for 19 experts who arrived from Kinshasa.,"[{""type"": ""LOC"", ""value"": ""Kinshasa"", ""score"": 0.9929}]","{""label"": ""neutral"", ""score"": 0.5833}"
DRC,01-07-2026,"Insecurity (CODECO, ADF) limiting access to high-risk zones. PERSPECTIVES: Strengthen security coordination and humanitarian access.","[{""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.8819}, {""type"": ""ORG"", ""value"": ""##DECO"", ""score"": 0.9101}, {""type"": ""ORG"", ""value"": ""AD"", ""score"": 0.9573}]","{""label"": ""neutral"", ""score"": 0.6058}"
DRC,05-07-2026,"Security challenges include community resistance affecting response in Bunia; access limitations due to insecurity (CODECO, ADF) restricting operations in high-risk areas.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9104}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.5606}, {""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.983}, {""type"": ""ORG"", ""value"": ""##DECO"", ""score"": 0.8273}, {""type"": ""ORG"", ""value"": ""ADF"", ""score"": 0.9153}]","{""label"": ""fear"", ""score"": 0.605}"
DRC,06-07-2026,"96 HCW cases including 19 deaths. Challenges: community resistance, insecurity (CODECO/ADF), staff strike in Bunia and Rwampara.","[{""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.4809}, {""type"": ""ORG"", ""value"": ""##CO"", ""score"": 0.8521}, {""type"": ""ORG"", ""value"": ""AD"", ""score"": 0.7347}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9886}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8716}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8942}]","{""label"": ""fear"", ""score"": 0.5621}"
DRC,08-07-2026,"CHALLENGES: Strikes of health providers in Bunia and Rwampara. Insecurity and limited access (CODECO, ADF). PERSPECTIVES: Strengthening security coordination and humanitarian access.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9952}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8719}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8884}, {""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.9543}, {""type"": ""ORG"", ""value"": ""##DECO"", ""score"": 0.7224}, {""type"": ""ORG"", ""value"": ""ADF"", ""score"": 0.7409}]","{""label"": ""fear"", ""score"": 0.5631}"
DRC,11-07-2026,No new major security incident reported in the consolidated presentation of 11 July 2026. Vigilance remains reinforced around PoE/PoC and treatment structures. Continued coordination with politico-administrative and security authorities to ensure response teams' access to high-risk areas.,"[{""type"": ""ORG"", ""value"": ""PoE"", ""score"": 0.9098}, {""type"": ""ORG"", ""value"": ""PoC"", ""score"": 0.7957}]","{""label"": ""fear"", ""score"": 0.6279}"
DRC,13-07-2026,No major security incidents. Teams secured at PoC/PoE and EDS. CHALLENGES: Insecurity with CODECO/ADF restricts access. PERSPECTIVES: Enhance security coordination and humanitarian access.,"[{""type"": ""ORG"", ""value"": ""PoC / PoE"", ""score"": 0.8837}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.9054}, {""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.9824}, {""type"": ""ORG"", ""value"": ""##DECO"", ""score"": 0.8306}, {""type"": ""ORG"", ""value"": ""ADF"", ""score"": 0.7538}]","{""label"": ""neutral"", ""score"": 0.8585}"
