nom,date,laboratory_en,summary_json
Goma,20-05-2026,"16 samples received at Beni laboratory: 7 transmitted to Goma (4 arrived at INRB Goma, 3 en route); 9 still held at INRB Beni awaiting transport for shipment to the analysis laboratory.","{""summary"": "" 16 samples received at Beni laboratory: 7 transmitted to Goma (4 arrived at""}"
Bunia,30-05-2026,Continuation of analyses at the Bunia laboratory and INRB Kinshasa.,"{""summary"": ""Continuation of analyses at the Bunia laboratory and INRB Kinshasa.""}"
Bunia,01-06-2026,Continuation of analyses at the Bunia laboratory and at INRB Kinshasa.,"{""summary"": ""Continuation of analyses at the Bunia laboratory and at INRB Kinshasa.""}"
Miti-Murhesa,01-06-2026,Mobile INRB laboratory installed at Miti-Murhesa (South Kivu).,"{""summary"": ""Mobile INRB laboratory installed at Miti-Murhesa (South Kivu).""}"
Bunia,02-06-2026,70 samples collected and analysed (positivity rate: 27.1%). No samples pending analysis.,"{""summary"": ""70 samples collected and analysed (positivity rate: 27.1%). No samples pending analysis.""}"
Katwa,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""summary"": "" 34 samples collected. 42 results still pending due to turnaround time exceeding 5 days . Catch""}"
Beni,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""summary"": "" 34 samples collected. 42 results still pending due to turnaround time exceeding 5 days . Catch""}"
Butembo,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""summary"": "" 34 samples collected. 42 results still pending due to turnaround time exceeding 5 days . Catch""}"
Oicha,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""summary"": "" 34 samples collected. 42 results still pending due to turnaround time exceeding 5 days . Catch""}"
Kalunguta,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""summary"": "" 34 samples collected. 42 results still pending due to turnaround time exceeding 5 days . Catch""}"
Kyondo,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""summary"": "" 34 samples collected. 42 results still pending due to turnaround time exceeding 5 days . Catch""}"
Goma,02-06-2026,34 samples collected. 42 results still pending due to turnaround time exceeding 5 days. Catch-up plan required. | Priority action: catch-up plan for 42 pending samples [D+2].,"{""summary"": "" 34 samples collected. 42 results still pending due to turnaround time exceeding 5 days . Catch""}"
Miti-Murhesa,02-06-2026,INRB mobile laboratory installed at Miti-Murhesa to accelerate diagnosis.,"{""summary"": ""INRB mobile laboratory installed at Miti-Murhesa to accelerate diagnosis.""}"
Mongbwalu,03-06-2026,"Reception of RADIONE machine (4 modules) and glove box, as part of the decentralisation of PCR diagnostics. Training of providers planned (D+2). 82 samples collected and analysed: 18 positive, 61 negative, 3 invalid. Positivity rate: 22.0%. No samples pending. Deployment of a RADIONE machine (4 modules) to Mongbwalu health zone for decentralisation of laboratory diagnostics.","{""summary"": "" Deployment of a RADIONE machine (4 modules) to Mongbwalu health zone for decentralisation of laboratory diagnostics . Training of providers""}"
Beni,03-06-2026,Reception of 100 collection kits (swabs). 39 samples collected in 24h. 10 tested at Petit Nord (0 positive). 147 results pending in Grand Nord — average delay > 5 days. Urgent need for catch-up plan (D+2).,"{""summary"": "" 147 results pending in Grand Nord \u2014 average delay > 5 days . Urgent need for catch""}"
Miti-Murhesa,03-06-2026,Continued installation of the INRB mobile laboratory at Miti-Murhesa.,"{""summary"": ""Continued installation of the INRB mobile laboratory at Miti-Murhesa.""}"
Mongbwalu,04-06-2026,Effective start of sample analysis (equipment installed and staff trained). 199 samples collected and analysed (positivity 32.6%); deployment of a machine in Mongbwalu HZ and effective start of sample analysis.,"{""summary"": "" 199 samples collected and analysed (positivity 32.6%) 199 samples were analysed (""}"
Beni,04-06-2026,"57 samples collected and analysed, 6 positive for EVD; 118 results still pending.","{""summary"": ""57 samples collected and analysed, 6 positive for EVD; 118 results still pending.""}"
Miti-Murhesa,04-06-2026,2 samples received at the laboratory (1 re-sampling).,"{""summary"": ""2 samples received at the laboratory (1 re-sampling).""}"
Beni,05-06-2026,"11 samples collected and analysed, none positive for EVD. 159 results still pending due to lack of reagents.","{""summary"": ""11 samples collected and analysed, none positive for EVD. 159 results still pending due to lack of reagents.""}"
Miti-Murhesa,05-06-2026,"6 samples received and analysed at the laboratory, all negative for EVD.","{""summary"": ""6 samples received and analysed at the laboratory, all negative for EVD.""}"
