nom,date,monitoring_en,ner_json,emotion_json
Bunia,19-05-2026,"Alerts (18/05): 16 total (3 carried + 13 new); 10 alive, 6 deceased; 16 investigated; 16 validated; 10 sampled; 9 isolated, 1 not isolated. Alerts (19/05): 35 total; 30 alive, 5 deceased; 33 investigated, 2 not investigated; 29 validated (5 deceased), 4 invalidated; 10 sampled; 30 isolated.",[],"{""label"": ""neutral"", ""score"": 0.4936}"
Rwampara,19-05-2026,"Alerts (18/05): 30 total (7 carried + 23 new); 20 alive, 10 deceased; 22 investigated; 21 validated, 1 invalidated; 21 sampled; 46 isolated. Alerts (19/05): 27 total (8 carried + 19 new); 22 alive, 5 deceased; 20 investigated, 7 not investigated; 18 validated, 2 invalidated; 13 sampled; 13 isolated.",[],"{""label"": ""neutral"", ""score"": 0.4932}"
Nyankunde,19-05-2026,"Alerts (18/05): 4 total (4 new); 3 alive, 1 deceased; 4 investigated; 4 validated; 4 sampled; 3 isolated. Alerts (19/05): 6 total; 2 alive, 4 deceased; 5 investigated, 1 not investigated; 5 validated; 5 sampled.",[],"{""label"": ""neutral"", ""score"": 0.5038}"
Mongbwalu,19-05-2026,"Alerts (18/05): 11 total (11 new); 9 alive, 2 deceased; 9 investigated, 2 not investigated; 9 validated, 2 invalidated; 2 sampled; 9 isolated. Alerts (19/05): 7 total; 4 alive, 3 deceased; 7 investigated; 7 validated; 7 sampled; 4 isolated.",[],"{""label"": ""neutral"", ""score"": 0.4644}"
Nizi,19-05-2026,Alerts (18/05): 1 total (1 new); 1 alive; 1 investigated; 1 validated; 0 sampled; 1 not isolated.,[],"{""label"": ""neutral"", ""score"": 0.7619}"
Lita,19-05-2026,Alerts (18/05): 2 total (2 new); 2 alive; 2 investigated; 2 validated; 2 isolated.,[],"{""label"": ""neutral"", ""score"": 0.6689}"
Bambu,19-05-2026,"Briefing of surveillance teams on alerts, investigations, active case search, contact listing and follow-up; briefing of PoE/PoC team on mapping of their sites; organisation of the surveillance pillar (focal points per HZ, roles and responsibilities); deployment of surveillance teams in 3 HZ in epidemic: Bunia, Rwampara and Nyankunde.","[{""type"": ""ORG"", ""value"": ""PoE"", ""score"": 0.9755}, {""type"": ""ORG"", ""value"": ""PoC"", ""score"": 0.8953}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.4861}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.2524}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.3553}, {""type"": ""LOC"", ""value"": ""Rwamp"", ""score"": 0.7362}, {""type"": ""ORG"", ""value"": ""##ara"", ""score"": 0.6265}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.7985}]","{""label"": ""neutral"", ""score"": 0.8313}"
Komanda,19-05-2026,"Komanda 3 (1 deceased), Bambu 1 (1 deceased), Mangala 2; all investigated and validated.","[{""type"": ""PER"", ""value"": ""Ko"", ""score"": 0.8109}, {""type"": ""ORG"", ""value"": ""##manda"", ""score"": 0.6321}, {""type"": ""PER"", ""value"": ""Bamb"", ""score"": 0.7876}, {""type"": ""PER"", ""value"": ""Man"", ""score"": 0.948}]","{""label"": ""neutral"", ""score"": 0.76}"
Goma,20-05-2026,Support to Katwa and Goma HZ in in-depth investigation and contact listing around confirmed cases; setting up of an alert management system (promotion of the civil-protection toll-free number); start of contact follow-up around the confirmed case in Goma HZ; investigations and contact listing around 4 confirmed cases in North Kivu.,"[{""type"": ""ORG"", ""value"": ""Katwa"", ""score"": 0.9722}, {""type"": ""ORG"", ""value"": ""Goma HZ"", ""score"": 0.8423}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.7463}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.8974}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.4963}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9986}]","{""label"": ""neutral"", ""score"": 0.5841}"
Bunia,20-05-2026,"Alerts (20/05): 39 total; 31 alive, 8 deceased; 35 investigated, 4 not investigated; 35 validated; 11 sampled; 30 isolated, 1 not isolated.",[],"{""label"": ""neutral"", ""score"": 0.5879}"
